SoilCode,VegCode,EcodistrictCode
ST1,CA2,AC5
ST1,IH1,AC5
ST1,IH1a,AC5
ST1,IH2,AC5
ST1,IH2a,AC5
ST1,IH4,AC9
ST1,IH4a,AC9
ST1,IH6,AC9
ST1,IH6a,AC9
ST1,IH6b,AC9
ST1,IH7,AC9
ST1,IH8,AC5
ST1,MW10,AC5
ST1,MW11,AC5
ST1,MW12,AC5
ST1,MW9,AC5
ST1,OW1,AC1
ST1,OW2,AC1
ST1,OW3,AC1
ST1,SH1,AC9
ST1,SH2,AC9
ST1,SH3,AC9
ST1,SH4,AC9
ST1,SH5,AC9
ST1,SH5b,AC9
ST1,SH6,AC9
ST1,SH7,AC9
ST1,SH8,AC9
ST1,SP1,AC5
ST1,SP10,AC5
ST1,SP1a,AC5
ST1,SP2,AC5
ST1,SP2a,AC5
ST1,SP3,AC5
ST1,SP4,AC5
ST1,SP4a,AC5
ST1,SP4b,AC5
ST1,SP5,AC5
ST1,SP6,AC5
ST1,SP7,AC5
ST1,SP8,AC5
ST1,TH1,AC9
ST1,TH1a,AC9
ST1,TH5,AC9
ST1,TH6,AC9
ST1,TH7,AC9
ST1,TH8,AC9
ST1,TH8a,AC9
ST1,TH9,AC9
ST10,TH4,AC14
ST10,WC10,AC12
ST10,WC10a,AC12
ST10,WC5,AC12
ST10,WC6,AC8
ST10,WC7,AC8
ST10,WC7a,AC8
ST10,WC8,AC12
ST10,WC9,AC12
ST10,WD1,AC15
ST10,WD2,AC8
ST10,WD3,AC12
ST10,WD4,AC12
ST10,WD5,AC15
ST10,WM1,AC12
ST10,WM2,AC12
ST10,WM3,AC8
ST10,WM3a,AC8
ST10,WM4,AC12
ST10,WM5,AC15
ST10S,WC10,AC12
ST10S,WC10a,AC12
ST10S,WC5,AC12
ST10S,WC6,AC8
ST10S,WC7,AC8
ST10S,WC7a,AC8
ST10S,WC8,AC12
ST10S,WC9,AC12
ST10S,WD1,AC15
ST10S,WD2,AC8
ST10S,WD3,AC12
ST10S,WD4,AC12
ST10S,WD5,AC15
ST10S,WM1,AC12
ST10S,WM2,AC12
ST10S,WM3,AC8
ST10S,WM3a,AC8
ST10S,WM4,AC12
ST10S,WM5,AC15
ST11,CA1,AC13
ST11,FP1,AC16
ST11,FP2,AC16
ST11,FP3,AC16
ST11,FP4,AC16
ST11,FP5,AC16
ST11,FP6,AC16
ST11,FP7,AC16
ST11,FP8,AC16
ST11,FP9,AC16
ST11,IH3,AC13
ST11,IH4,AC13
ST11,IH4a,AC13
ST11,IH5,AC13
ST11,IH6,AC13
ST11,IH6a,AC13
ST11,IH6b,AC13
ST11,IH7,AC13
ST11,IH9,AC13
ST11,KA1,AC13
ST11,KA2,AC13
ST11,KA3,AC13
ST11,KA4,AC13
ST11,MW1,AC13
ST11,MW2,AC13
ST11,MW2a,AC13
ST11,MW3,AC13
ST11,MW4,AC13
ST11,MW4a,AC13
ST11,MW5,AC13
ST11,MW6,AC13
ST11,MW7,AC13
ST11,MW8,AC13
ST11,OF1,AC13
ST11,OF3,AC13
ST11,OF4,AC13
ST11,OF5,AC13
ST11,OF6,AC13
ST11,OF7,AC13
ST11,OF8,AC13
ST11,OF9,AC13
ST11,SH1,AC13
ST11,SH2,AC13
ST11,SH3,AC13
ST11,SH5,AC13
ST11,SH5a,AC13
ST11,SH5b,AC13
