ID,SoilCode,VegCode,EcositeCode,EcositeGroup
1,ST1,OW1,AC1,Acadian
2,ST1,OW2,AC1,Acadian
3,ST1,OW3,AC1,Acadian
4,ST15,OW1,AC1,Acadian
5,ST15,OW2,AC1,Acadian
6,ST15,OW3,AC1,Acadian
7,ST15B,OW1,AC1,Acadian
8,ST15B,OW2,AC1,Acadian
9,ST15B,OW3,AC1,Acadian
10,ST15C,IH8,AC1,Acadian
11,ST15C,OW1,AC1,Acadian
12,ST15C,OW2,AC1,Acadian
13,ST15C,OW3,AC1,Acadian
14,ST15CB,IH8,AC1,Acadian
15,ST15CB,OW1,AC1,Acadian
16,ST15CB,OW2,AC1,Acadian
17,ST15CB,OW3,AC1,Acadian
18,ST15CS,IH8,AC1,Acadian
19,ST15CS,OW1,AC1,Acadian
20,ST15CS,OW2,AC1,Acadian
21,ST15CS,OW3,AC1,Acadian
22,ST15CSB,IH8,AC1,Acadian
23,ST15CSB,OW1,AC1,Acadian
24,ST15CSB,OW2,AC1,Acadian
25,ST15CSB,OW3,AC1,Acadian
26,ST15L,OW1,AC1,Acadian
27,ST15L,OW2,AC1,Acadian
28,ST15L,OW3,AC1,Acadian
29,ST15LB,OW1,AC1,Acadian
30,ST15LB,OW2,AC1,Acadian
31,ST15LB,OW3,AC1,Acadian
32,ST15LS,OW1,AC1,Acadian
33,ST15LS,OW2,AC1,Acadian
34,ST15LS,OW3,AC1,Acadian
35,ST15LSB,OW1,AC1,Acadian
36,ST15LSB,OW2,AC1,Acadian
37,ST15LSB,OW3,AC1,Acadian
38,ST15S,OW1,AC1,Acadian
39,ST15S,OW2,AC1,Acadian
40,ST15S,OW3,AC1,Acadian
41,ST15SB,OW1,AC1,Acadian
42,ST15SB,OW2,AC1,Acadian
43,ST15SB,OW3,AC1,Acadian
44,ST1B,OW1,AC1,Acadian
45,ST1B,OW2,AC1,Acadian
46,ST1B,OW3,AC1,Acadian
47,ST1S,OW1,AC1,Acadian
48,ST1S,OW2,AC1,Acadian
49,ST1S,OW3,AC1,Acadian
50,ST1SB,OW1,AC1,Acadian
51,ST1SB,OW2,AC1,Acadian
52,ST1SB,OW3,AC1,Acadian
53,ST16,CA1,AC10,Acadian
54,ST16,IH7,AC10,Acadian
55,ST16,KA1,AC10,Acadian
56,ST16,KA2,AC10,Acadian
57,ST16,KA3,AC10,Acadian
58,ST16,KA4,AC10,Acadian
59,ST16,MW1,AC10,Acadian
60,ST16,MW2,AC10,Acadian
61,ST16,MW2a,AC10,Acadian
62,ST16,MW3,AC10,Acadian
63,ST16,MW4,AC10,Acadian
64,ST16,MW4a,AC10,Acadian
65,ST16,MW5,AC10,Acadian
66,ST16,MW6,AC10,Acadian
67,ST16,MW7,AC10,Acadian
68,ST16,MW8,AC10,Acadian
69,ST16,SH1,AC10,Acadian
70,ST16,SH2,AC10,Acadian
71,ST16,SH3,AC10,Acadian
72,ST16,SH4,AC10,Acadian
73,ST16,SH5,AC10,Acadian
74,ST16,SH5a,AC10,Acadian
75,ST16,SH5b,AC10,Acadian
76,ST16,SH6,AC10,Acadian
77,ST16,SH7,AC10,Acadian
78,ST16,SH8,AC10,Acadian
79,ST16,TH1,AC10,Acadian
80,ST16,TH1a,AC10,Acadian
81,ST16,TH2,AC10,Acadian
82,ST16,TH2a,AC10,Acadian
83,ST16,TH3,AC10,Acadian
84,ST16,TH6,AC10,Acadian
85,ST16,TH7,AC10,Acadian
86,ST16,TH8,AC10,Acadian
87,ST16,TH8a,AC10,Acadian
88,ST16,TH9,AC10,Acadian
89,ST16B,CA1,AC10,Acadian
90,ST16B,IH7,AC10,Acadian
