ID,ShortCode,Name,SoilType,SoilPhaseShort
-1,,,-1,
2,ST1,ST1,1,
3,ST1B,ST1B,1,B
4,ST1S,ST1S,1,S
5,ST1SB,ST1SB,1,SB
6,ST2,ST2,2,
7,ST2B,ST2B,2,B
8,ST2C,ST2C,2,C
9,ST2CB,ST2CB,2,CB
10,ST2CS,ST2CS,2,CS
11,ST2CSB,ST2CSB,2,CSB
12,ST2L,ST2L,2,L
13,ST2LB,ST2LB,2,LB
14,ST2LS,ST2LS,2,LS
15,ST2LSB,ST2LSB,2,LSB
16,ST2S,ST2S,2,S
17,ST2SB,ST2SB,2,SB
18,ST3,ST3,3,
19,ST3B,ST3B,3,B
20,ST3C,ST3C,3,C
21,ST3CB,ST3CB,3,CB
22,ST3CS,ST3CS,3,CS
23,ST3CSB,ST3CSB,3,CSB
24,ST3L,ST3L,3,L
25,ST3LB,ST3LB,3,LB
26,ST3LS,ST3LS,3,LS
27,ST3LSB,ST3LSB,3,LSB
28,ST3S,ST3S,3,S
29,ST3SB,ST3SB,3,SB
30,ST4,ST4,4,
31,ST4B,ST4B,4,B
32,ST4S,ST4S,4,S
33,ST4SB,ST4SB,4,SB
34,ST5,ST5,5,
35,ST5C,ST5C,5,C
36,ST5CS,ST5CS,5,CS
37,ST5S,ST5S,5,S
38,ST6,ST6,6,
39,ST6C,ST6C,6,C
40,ST6CS,ST6CS,6,CS
41,ST6S,ST6S,6,S
42,ST7,ST7,7,
43,ST7S,ST7S,7,S
44,ST8,ST8,8,
45,ST8B,ST8B,8,B
46,ST8C,ST8C,8,C
47,ST8CB,ST8CB,8,CB
48,ST8CS,ST8CS,8,CS
49,ST8CSB,ST8CSB,8,CSB
50,ST8S,ST8S,8,S
51,ST8SB,ST8SB,8,SB
52,ST9,ST9,9,
53,ST9B,ST9B,9,B
54,ST9C,ST9C,9,C
55,ST9CB,ST9CB,9,CB
56,ST9CS,ST9CS,9,CS
57,ST9CSB,ST9CSB,9,CSB
58,ST9S,ST9S,9,S
59,ST9SB,ST9SB,9,SB
60,ST10,ST10,10,
61,ST10S,ST10S,10,S
62,ST11,ST11,11,
63,ST11S,ST11S,11,S
64,ST12,ST12,12,
65,ST12S,ST12S,13,S
66,ST13,ST13,13,
67,ST13S,ST13S,14,S
68,ST14,ST14,14,
69,ST14B,ST14B,14,B
70,ST14S,ST14S,14,S
71,ST14SB,ST14SB,14,SB
72,ST14U,ST14U,14,U
73,ST14UB,ST14UB,14,UB
74,ST14US,ST14US,14,US
75,ST14USB,ST14USB,14,USB
76,ST15,ST15,15,
77,ST15B,ST15B,15,B
78,ST15C,ST15C,15,C
79,ST15CB,ST15CB,15,CB
80,ST15CS,ST15CS,15,CS
81,ST15CSB,ST15CSB,15,CSB
82,ST15L,ST15L,15,L
83,ST15LB,ST15LB,15,LB
84,ST15LS,ST15LS,15,LS
85,ST15LSB,ST15LSB,15,LSB
86,ST15S,ST15S,15,S
87,ST15SB,ST15SB,15,SB
88,ST16,ST16,16,
89,ST16B,ST16B,16,B
90,ST16C,ST16C,16,C
91,ST16CB,ST16CB,16,CB
92,ST16CS,ST16CS,16,CS
93,ST16CSB,ST16CSB,16,CSB
94,ST16L,ST16L,16,L
95,ST16LB,ST16LB,16,LB
96,ST16LS,ST16LS,16,LS
97,ST16LSB,ST16LSB,16,LSB
98,ST16S,ST16S,16,S
99,ST16SB,ST16SB,16,SB
100,ST17,ST17,17,
101,ST17S,ST17S,17,S
102,ST18,ST18,18,
103,ST18S,ST18S,18,S
