ID,ShortCode,Name,HardwoodSoftwood,LIT,LT,CustomOrder
-1,n/a, ,2,0,0,-1
1,rS,Red Spruce,2,1,1,1
2,eH,Eastern Hemlock,2,1,1,2
3,wP,White Pine,2,1,0,3
4,wS,White Spruce,2,0,0,4
5,S,Black Spruce/Coastal,2,1,0,5
6,bF,Balsam Fir,2,0,0,6
7,rP,Red Pine,2,0,0,7
8,jP,Jack Pine,2,0,0,8
9,eL,Eastern Larch,2,0,0,9
10,sM,Sugar Maple,1,1,0,10
11,yB,Yellow Birch,1,1,0,11
12,wA,White Ash,1,1,0,12
13,rO,Red Oak,1,1,0,13
14,rM,Red Maple,1,1,1,14
15,wB,White Birch,1,0,0,15
16,tA,Trembling Aspen,1,0,0,16
17,lTA,Large-tooth Aspen,1,0,0,17
