ID,ShortCode,Name
1,CA2,CA2_name
2,IH1,IH1_name
3,IH1a,IH1a_name
4,IH2,IH2_name
5,IH2a,IH2a_name
6,IH4,IH4_name
7,IH4a,IH4a_name
8,IH6,IH6_name
9,IH6a,IH6a_name
10,IH6b,IH6b_name
11,IH7,IH7_name
12,IH8,IH8_name
13,MW10,MW10_name
14,MW11,MW11_name
15,MW12,MW12_name
16,MW9,MW9_name
17,OW1,OW1_name
18,OW2,OW2_name
19,OW3,OW3_name
20,SH1,SH1_name
21,SH2,SH2_name
22,SH3,SH3_name
23,SH4,SH4_name
24,SH5,SH5_name
25,SH5b,SH5b_name
26,SH6,SH6_name
27,SH7,SH7_name
28,SH8,SH8_name
29,SP1,SP1_name
30,SP10,SP10_name
31,SP1a,SP1a_name
32,SP2,SP2_name
33,SP2a,SP2a_name
34,SP3,SP3_name
35,SP4,SP4_name
36,SP4a,SP4a_name
37,SP4b,SP4b_name
38,SP5,SP5_name
39,SP6,SP6_name
40,SP7,SP7_name
41,SP8,SP8_name
42,TH1,TH1_name
43,TH1a,TH1a_name
44,TH5,TH5_name
45,TH6,TH6_name
46,TH7,TH7_name
47,TH8,TH8_name
48,TH8a,TH8a_name
49,TH9,TH9_name
50,TH4,TH4_name
51,WC10,WC10_name
52,WC10a,WC10a_name
53,WC5,WC5_name
54,WC6,WC6_name
55,WC7,WC7_name
56,WC7a,WC7a_name
57,WC8,WC8_name
58,WC9,WC9_name
59,WD1,WD1_name
60,WD2,WD2_name
61,WD3,WD3_name
62,WD4,WD4_name
63,WD5,WD5_name
64,WM1,WM1_name
65,WM2,WM2_name
66,WM3,WM3_name
67,WM3a,WM3a_name
68,WM4,WM4_name
69,WM5,WM5_name
70,CA1,CA1_name
71,FP1,FP1_name
72,FP2,FP2_name
73,FP3,FP3_name
74,FP4,FP4_name
75,FP5,FP5_name
76,FP6,FP6_name
77,FP7,FP7_name
78,FP8,FP8_name
79,FP9,FP9_name
80,IH3,IH3_name
81,IH5,IH5_name
82,IH9,IH9_name
83,KA1,KA1_name
84,KA2,KA2_name
85,KA3,KA3_name
86,KA4,KA4_name
87,MW1,MW1_name
88,MW2,MW2_name
89,MW2a,MW2a_name
90,MW3,MW3_name
91,MW4,MW4_name
92,MW4a,MW4a_name
93,MW5,MW5_name
94,MW6,MW6_name
95,MW7,MW7_name
96,MW8,MW8_name
97,OF1,OF1_name
98,OF3,OF3_name
99,OF4,OF4_name
100,OF5,OF5_name
101,OF6,OF6_name
102,OF7,OF7_name
103,OF8,OF8_name
104,OF9,OF9_name
105,SH5a,SH5a_name
106,TH2,TH2_name
107,TH2a,TH2a_name
108,TH3,TH3_name
109,MW13,MW13_name
110,OF2,OF2_name
111,WC1,WC1_name
112,WC11,WC11_name
113,WC2,WC2_name
114,WC2a,WC2a_name
115,WC3,WC3_name
116,WC4,WC4_name
117,SP9,SP9_name
118,OW5,OW5_name
119,OW4,OW4_name
120,CB1,CB1_name
121,CB2,CB2_name
122,CB2a,CB2a_name
123,CB3,CB3_name
124,CB5,CB5_name
125,CB6,CB6_name
126,HL1,HL1_name
127,HL2,HL2_name
128,HL5,HL5_name
129,HL6,HL6_name
130,WB2,WB2_name
131,WB1,WB1_name
132,WB3,WB3_name
133,CB4,CB4_name
134,HL3,HL3_name
135,HL4,HL4_name
136,HL7,HL7_name
