Category,Dbh,Height
Softwood - normal,10,2
Softwood - normal,12,3
Softwood - normal,14,5
Softwood - normal,16,7
Softwood - normal,18,9
Softwood - normal,20,10
Softwood - normal,22,10
Softwood - normal,24,11
Softwood - normal,26,12
Softwood - normal,28,13
Softwood - normal,30,14
Softwood - normal,32,15
Softwood - normal,34,16
Softwood - normal,36,17
Softwood - normal,38,17
Softwood - normal,40,17
Softwood - normal,42,18
Softwood - normal,44,18
Softwood - normal,46,19
Softwood - normal,48,19
Softwood - normal,50,20
Softwood - normal,52,20
Softwood - normal,54,20
Softwood - normal,56,20
Softwood - normal,58,20
Softwood - normal,60,20
Softwood - normal,62,20
Softwood - normal,64,20
Softwood - normal,66,20
Softwood - normal,68,20
Softwood - normal,70,20
Softwood - normal,72,20
Softwood - normal,74,20
Softwood - normal,76,20
Softwood - normal,78,20
Softwood - normal,80,20
Softwood - normal,82,20
Softwood - normal,84,20
Softwood - normal,86,20
Softwood - normal,88,20
Softwood - normal,90,20
Softwood - normal,92,20
Softwood - normal,94,20
Softwood - normal,96,20
Softwood - normal,98,20
Hardwood - normal,2,2
Hardwood - normal,4,3
Hardwood - normal,6,5
Hardwood - normal,80,6
Hardwood - normal,10,7
Hardwood - normal,12,8
Hardwood - normal,14,8
Hardwood - normal,16,9
Hardwood - normal,18,10
Hardwood - normal,20,10
Hardwood - normal,22,11
Hardwood - normal,24,12
Hardwood - normal,26,12
Hardwood - normal,28,13
Hardwood - normal,30,14
Hardwood - normal,32,14
Hardwood - normal,34,14
Hardwood - normal,36,15
Hardwood - normal,38,16
Hardwood - normal,40,16
Hardwood - normal,42,16
Hardwood - normal,44,16
Hardwood - normal,46,17
Hardwood - normal,48,17
Hardwood - normal,50,17
Hardwood - normal,52,17
Hardwood - normal,54,17
Hardwood - normal,56,17
Hardwood - normal,58,17
Hardwood - normal,60,17
Hardwood - normal,62,17
Hardwood - normal,64,17
Hardwood - normal,66,17
Hardwood - normal,68,17
Hardwood - normal,70,17
Hardwood - normal,72,17
Hardwood - normal,74,17
Hardwood - normal,76,17
Hardwood - normal,78,17
Hardwood - normal,80,17
Hardwood - normal,82,17
Hardwood - normal,84,17
Hardwood - normal,86,17
Hardwood - normal,88,17
Hardwood - normal,90,17
Hardwood - normal,92,17
Hardwood - normal,94,17
Hardwood - normal,96,17
Hardwood - normal,98,17
